SalesKey,DateKey,SalesQuantity,SaleAmount,ProfitAmount,Region,States,ProductName,ProductCategoryName,ProductSubcategoryName,Feedback
171,2024-02-14,1,10.38,100.0,38920,CROLLES,DIVERS,DIVERS,FS2FMEV16 PNEU ARG,1
172,2024-05-18,1,138.89,100.0,95160,MONTMORENCY,DIVERS,DIVERS,FORFAIT VIDANGE 4 FILTRES ,0
173,2018-04-04,1,50.0,100.0,95400,VILLIERS LE BEL,DIVERS,DIVERS,CUSTODE AVG TOYOTA  PRIUS FK-299-WK,8
174,2018-06-12,1,97.22,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,2 pneus +1 paralellisme,0
174,2018-06-12,1,496.67,0.0,93380,PIERREFITTE SUR SEINE,DIVERS,CITROEN,PARE-BRISE V (POUR PORTES AR TOLEES),0
175,2018-09-04,1,376.58,0.0,95400,VILLIERS LE BEL,DIVERS,PILKINGTON (EUROCODE),Lunette AR teintée vert,1
175,2018-09-04,1,259.02,0.0,95400,VILLIERS LE BEL,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert dégradé bleu,1
176,2018-11-27,1,482.66,0.0,77160,PROVINS,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert solar,6
176,2018-11-27,1,69.44,100.0,77160,PROVINS,DIVERS,DIVERS,pose vitrage avant ds3,6
178,2019-04-13,1,12.5,100.0,93200,ST DENIS,DIVERS,DIVERS,TOYOTA YARIS (GH-019-YR)  1 REPARATION PNEU,5
178,2019-04-13,1,551.22,0.0,93200,ST DENIS,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert,5
179,2019-06-10,1,96.32,0.0,93200,ST DENIS,DIVERS,PILKINGTON (EUROCODE),Glace de porte AVG claire,8
180,2019-07-18,1,90.28,100.0,93350,LE BOURGET,DIVERS,DIVERS,1 PARE BRISE NAVARO,3
182,2019-11-05,1,892.2,0.0,95800,CERGY,DIVERS,FIAT,GLACE MOBILE V PTE LAT D (YC VITR-COULISS./SURTEINT),3
183,2019-12-18,1,481.88,0.0,93440,DUGNY,DIVERS,TOYOTA,PARE-BRISE V CAPTEUR PLUIE (ANT-NUM DAB/ELECTROCHROME),6
184,2020-04-28,1,916.67,100.0,93600,AULNAY SOUS BOIS,DIVERS,DIVERS,LOT DE DIVERS JOINT PARE-BRISE ,3
186,2020-09-01,1,387.16,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,VITRAGE AVANT RENAULT MASTER ,0
188,2021-02-24,1,138.89,100.0,93240,STAINS,DIVERS,DIVERS,LIQUIDE DE FILTRE A PARTICULLE ,8
188,2021-02-24,1,293.7,0.0,93240,STAINS,DIVERS,PILKINGTON (EUROCODE),Pare-brise clair,8
190,2021-07-27,1,14.08,0.0,38100,GRENOBLE,DIVERS,PILKINGTON (EUROCODE),Enjoliveur pare-brise,1
190,2021-07-27,1,155.54,100.0,38100,GRENOBLE,DIVERS,DIVERS,PARE-BRISE VERT VOLKSWAGEN SCIROCCO III CAPTEUR DE PLUIE 08- (8597AGSMVW1P) ST GO,1
191,2022-01-07,1,700.36,100.0,94200,IVRY SUR SEINE,DIVERS,DIVERS,FILTRE A PARTICULES ,5
192,2022-06-20,1,75.0,100.0,93240,STAINS,DIVERS,DIVERS,PARE BRISE KIA RIO 4440AGSV,1
193,2022-10-04,1,47.56,0.0,95120,ERMONT,DIVERS,RENAULT,ENJOLIVEUR PARE-BRISE,4
